TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
86,1 2 3 4 5 6 7 8,1,86,CPLD,/run/devmap/xcvrs/xcvr_ctrl_76/xcvr_reset_76,1,0,/run/devmap/xcvrs/xcvr_ctrl_76/xcvr_present_76,1,0,86,I2C,/run/devmap/xcvrs/xcvr_io_86,86,/sys/class/leds/port54_led1:blue:status,/sys/class/leds/port54_led2:amber:status
87,1 2 3 4 5 6 7 8,1,87,CPLD,/run/devmap/xcvrs/xcvr_ctrl_117/xcvr_reset_117,1,0,/run/devmap/xcvrs/xcvr_ctrl_117/xcvr_present_117,1,0,87,I2C,/run/devmap/xcvrs/xcvr_io_87,87,/sys/class/leds/port85_led1:blue:status,/sys/class/leds/port85_led2:amber:status
88,1 2 3 4 5 6 7 8,1,88,CPLD,/run/devmap/xcvrs/xcvr_ctrl_118/xcvr_reset_118,1,0,/run/devmap/xcvrs/xcvr_ctrl_118/xcvr_present_118,1,0,88,I2C,/run/devmap/xcvrs/xcvr_io_88,88,/sys/class/leds/port86_led1:blue:status,/sys/class/leds/port86_led2:amber:status
89,1 2 3 4 5 6 7 8,1,89,CPLD,/run/devmap/xcvrs/xcvr_ctrl_23/xcvr_reset_23,1,0,/run/devmap/xcvrs/xcvr_ctrl_23/xcvr_present_23,1,0,89,I2C,/run/devmap/xcvrs/xcvr_io_89,89,/sys/class/leds/port119_led1:blue:status,/sys/class/leds/port119_led2:amber:status
90,1 2 3 4 5 6 7 8,1,90,CPLD,/run/devmap/xcvrs/xcvr_ctrl_24/xcvr_reset_24,1,0,/run/devmap/xcvrs/xcvr_ctrl_24/xcvr_present_24,1,0,90,I2C,/run/devmap/xcvrs/xcvr_io_90,90,/sys/class/leds/port120_led1:blue:status,/sys/class/leds/port120_led2:amber:status
91,1 2 3 4 5 6 7 8,1,91,CPLD,/run/devmap/xcvrs/xcvr_ctrl_77/xcvr_reset_77,1,0,/run/devmap/xcvrs/xcvr_ctrl_77/xcvr_present_77,1,0,91,I2C,/run/devmap/xcvrs/xcvr_io_91,91,/sys/class/leds/port23_led1:blue:status,/sys/class/leds/port23_led2:amber:status
92,1 2 3 4 5 6 7 8,1,92,CPLD,/run/devmap/xcvrs/xcvr_ctrl_78/xcvr_reset_78,1,0,/run/devmap/xcvrs/xcvr_ctrl_78/xcvr_present_78,1,0,92,I2C,/run/devmap/xcvrs/xcvr_io_92,92,/sys/class/leds/port24_led1:blue:status,/sys/class/leds/port24_led2:amber:status
93,1 2 3 4 5 6 7 8,1,93,CPLD,/run/devmap/xcvrs/xcvr_ctrl_79/xcvr_reset_79,1,0,/run/devmap/xcvrs/xcvr_ctrl_79/xcvr_present_79,1,0,93,I2C,/run/devmap/xcvrs/xcvr_io_93,93,/sys/class/leds/port55_led1:blue:status,/sys/class/leds/port55_led2:amber:status
94,1 2 3 4 5 6 7 8,1,94,CPLD,/run/devmap/xcvrs/xcvr_ctrl_80/xcvr_reset_80,1,0,/run/devmap/xcvrs/xcvr_ctrl_80/xcvr_present_80,1,0,94,I2C,/run/devmap/xcvrs/xcvr_io_94,94,/sys/class/leds/port56_led1:blue:status,/sys/class/leds/port56_led2:amber:status
95,1 2 3 4 5 6 7 8,1,95,CPLD,/run/devmap/xcvrs/xcvr_ctrl_119/xcvr_reset_119,1,0,/run/devmap/xcvrs/xcvr_ctrl_119/xcvr_present_119,1,0,95,I2C,/run/devmap/xcvrs/xcvr_io_95,95,/sys/class/leds/port87_led1:blue:status,/sys/class/leds/port87_led2:amber:status
96,1 2 3 4 5 6 7 8,1,96,CPLD,/run/devmap/xcvrs/xcvr_ctrl_120/xcvr_reset_120,1,0,/run/devmap/xcvrs/xcvr_ctrl_120/xcvr_present_120,1,0,96,I2C,/run/devmap/xcvrs/xcvr_io_96,96,/sys/class/leds/port88_led1:blue:status,/sys/class/leds/port88_led2:amber:status
97,1 2 3 4 5 6 7 8,1,97,CPLD,/run/devmap/xcvrs/xcvr_ctrl_25/xcvr_reset_25,1,0,/run/devmap/xcvrs/xcvr_ctrl_25/xcvr_present_25,1,0,97,I2C,/run/devmap/xcvrs/xcvr_io_97,97,/sys/class/leds/port121_led1:blue:status,/sys/class/leds/port121_led2:amber:status
98,1 2 3 4 5 6 7 8,1,98,CPLD,/run/devmap/xcvrs/xcvr_ctrl_26/xcvr_reset_26,1,0,/run/devmap/xcvrs/xcvr_ctrl_26/xcvr_present_26,1,0,98,I2C,/run/devmap/xcvrs/xcvr_io_98,98,/sys/class/leds/port122_led1:blue:status,/sys/class/leds/port122_led2:amber:status
99,1 2 3 4 5 6 7 8,1,99,CPLD,/run/devmap/xcvrs/xcvr_ctrl_81/xcvr_reset_81,1,0,/run/devmap/xcvrs/xcvr_ctrl_81/xcvr_present_81,1,0,99,I2C,/run/devmap/xcvrs/xcvr_io_99,99,/sys/class/leds/port25_led1:blue:status,/sys/class/leds/port25_led2:amber:status
100,1 2 3 4 5 6 7 8,1,100,CPLD,/run/devmap/xcvrs/xcvr_ctrl_82/xcvr_reset_82,1,0,/run/devmap/xcvrs/xcvr_ctrl_82/xcvr_present_82,1,0,100,I2C,/run/devmap/xcvrs/xcvr_io_100,100,/sys/class/leds/port26_led1:blue:status,/sys/class/leds/port26_led2:amber:status
101,1 2 3 4 5 6 7 8,1,101,CPLD,/run/devmap/xcvrs/xcvr_ctrl_83/xcvr_reset_83,1,0,/run/devmap/xcvrs/xcvr_ctrl_83/xcvr_present_83,1,0,101,I2C,/run/devmap/xcvrs/xcvr_io_101,101,/sys/class/leds/port57_led1:blue:status,/sys/class/leds/port57_led2:amber:status
102,1 2 3 4 5 6 7 8,1,102,CPLD,/run/devmap/xcvrs/xcvr_ctrl_84/xcvr_reset_84,1,0,/run/devmap/xcvrs/xcvr_ctrl_84/xcvr_present_84,1,0,102,I2C,/run/devmap/xcvrs/xcvr_io_102,102,/sys/class/leds/port58_led1:blue:status,/sys/class/leds/port58_led2:amber:status
