PhyId,PhyCoreId,PimId,PhyResetPath,IoControlType,IoControllerId,IoControllerResetPath,IoPath,PhyAddr
26,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,4
27,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_rtm_0,MDIO,7,/run/devmap/mdio-busses/mdio_bus_ctrl_r_7/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_7,8
28,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_rtm_0,MDIO,8,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_8,8
29,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_rtm_0,MDIO,8,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_8,4
30,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_rtm_0,MDIO,8,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_8,2
31,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_rtm_0,MDIO,8,/run/devmap/mdio-busses/mdio_bus_ctrl_r_8/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_8,0
32,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_rtm_0,MDIO,9,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_9,0
33,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_rtm_0,MDIO,9,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_9,2
34,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_rtm_0,MDIO,9,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_9,4
35,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_rtm_0,MDIO,9,/run/devmap/mdio-busses/mdio_bus_ctrl_r_9/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_9,8
36,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_rtm_0,MDIO,10,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_10,8
37,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_rtm_0,MDIO,10,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_10,4
38,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_rtm_0,MDIO,10,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_10,2
39,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_rtm_0,MDIO,10,/run/devmap/mdio-busses/mdio_bus_ctrl_r_10/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_10,0
40,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_rtm_0,MDIO,11,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_11,0
41,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_rtm_0,MDIO,11,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_11,2
42,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_rtm_0,MDIO,11,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_11,4
43,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_rtm_0,MDIO,11,/run/devmap/mdio-busses/mdio_bus_ctrl_r_11/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_11,8
44,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_rtm_0,MDIO,12,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_12,8
45,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_rtm_0,MDIO,12,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_12,4
46,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_rtm_0,MDIO,12,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_12,2
47,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_rtm_0,MDIO,12,/run/devmap/mdio-busses/mdio_bus_ctrl_r_12/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_12,0
48,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_rtm_0,MDIO,13,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_13,0
49,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_rtm_0,MDIO,13,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_13,2
50,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_rtm_0,MDIO,13,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_13,4
51,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_rtm_0,MDIO,13,/run/devmap/mdio-busses/mdio_bus_ctrl_r_13/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_13,8
52,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_rtm_0,MDIO,14,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_14,8
53,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_rtm_0,MDIO,14,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_14,4
54,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_rtm_0,MDIO,14,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_14,2
55,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_rtm_0,MDIO,14,/run/devmap/mdio-busses/mdio_bus_ctrl_r_14/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_r_14,0
56,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_rtm_0,MDIO,15,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_1,0
57,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_rtm_0,MDIO,15,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_1,2
58,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_rtm_0,MDIO,15,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_1,4
59,0,1,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_rtm_0,MDIO,15,/run/devmap/mdio-busses/mdio_bus_ctrl_l_1/reset_bus,/run/devmap/mdio-busses/mdio_bus_io_l_1,8
