Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port,Controlling_Port
1,1,eth1/1/1,63-52-51-53-47,,,,0,0,,1
2,2,eth1/1/2,53-47,,,,0,0,,1
3,3,eth1/1/3,51-53-47,,,,0,0,,1
4,4,eth1/1/4,53-47,,,,0,0,,1
5,5,eth1/1/5,52-51-53-47,,,,0,0,,1
6,6,eth1/1/6,53-47,,,,0,0,,5
7,7,eth1/1/7,51-53-47,,,,0,0,,5
8,8,eth1/1/8,53-47,,,,0,0,,5
9,9,eth1/2/1,63-52-51-53-47,,,,0,0,,9
10,10,eth1/2/2,53-47,,,,0,0,,9
11,11,eth1/2/3,51-53-47,,,,0,0,,9
12,12,eth1/2/4,53-47,,,,0,0,,9
13,13,eth1/2/5,52-51-53-47,,,,0,0,,9
14,14,eth1/2/6,53-47,,,,0,0,,13
15,15,eth1/2/7,51-53-47,,,,0,0,,13
16,16,eth1/2/8,53-47,,,,0,0,,13
17,17,eth1/3/1,63-52-51-53-47,,,,0,0,,17
18,18,eth1/3/2,53-47,,,,0,0,,17
19,19,eth1/3/3,51-53-47,,,,0,0,,17
20,20,eth1/3/4,53-47,,,,0,0,,17
21,21,eth1/3/5,52-51-53-47,,,,0,0,,17
22,22,eth1/3/6,53-47,,,,0,0,,21
23,23,eth1/3/7,51-53-47,,,,0,0,,21
24,24,eth1/3/8,53-47,,,,0,0,,21
25,25,eth1/4/1,63-52-51-53-47,,,,0,0,,25
26,26,eth1/4/2,53-47,,,,0,0,,25
27,27,eth1/4/3,51-53-47,,,,0,0,,25
28,28,eth1/4/4,53-47,,,,0,0,,25
29,29,eth1/4/5,52-51-53-47,,,,0,0,,25
30,30,eth1/4/6,53-47,,,,0,0,,29
31,31,eth1/4/7,51-53-47,,,,0,0,,29
32,32,eth1/4/8,53-47,,,,0,0,,29
33,33,eth1/5/1,63-52-51-53-47,,,,0,0,,33
34,34,eth1/5/2,53-47,,,,0,0,,33
35,35,eth1/5/3,51-53-47,,,,0,0,,33
36,36,eth1/5/4,53-47,,,,0,0,,33
37,37,eth1/5/5,52-51-53-47,,,,0,0,,33
38,38,eth1/5/6,53-47,,,,0,0,,37
39,39,eth1/5/7,51-53-47,,,,0,0,,37
