Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
2183,135,fab1/21/8,36-37,,,1,1,0
180,180,fab1/22/1,36-37,,,0,1,0
181,181,fab1/22/2,36-37,,,0,1,0
182,182,fab1/22/3,36-37,,,0,1,0
183,183,fab1/22/4,36-37,,,0,1,0
2228,180,fab1/22/5,36-37,,,1,1,0
2229,181,fab1/22/6,36-37,,,1,1,0
2230,182,fab1/22/7,36-37,,,1,1,0
2231,183,fab1/22/8,36-37,,,1,1,0
120,120,fab1/23/1,36-37,,,0,1,0
121,121,fab1/23/2,36-37,,,0,1,0
122,122,fab1/23/3,36-37,,,0,1,0
123,123,fab1/23/4,36-37,,,0,1,0
2168,120,fab1/23/5,36-37,,,1,1,0
2169,121,fab1/23/6,36-37,,,1,1,0
2170,122,fab1/23/7,36-37,,,1,1,0
2171,123,fab1/23/8,36-37,,,1,1,0
124,124,fab1/24/1,36-37,,,0,1,0
125,125,fab1/24/2,36-37,,,0,1,0
126,126,fab1/24/3,36-37,,,0,1,0
127,127,fab1/24/4,36-37,,,0,1,0
2172,124,fab1/24/5,36-37,,,1,1,0
2173,125,fab1/24/6,36-37,,,1,1,0
2174,126,fab1/24/7,36-37,,,1,1,0
2175,127,fab1/24/8,36-37,,,1,1,0
2096,48,fab1/25/1,36-37,,,1,1,0
2097,49,fab1/25/2,36-37,,,1,1,0
2098,50,fab1/25/3,36-37,,,1,1,0
2099,51,fab1/25/4,36-37,,,1,1,0
48,48,fab1/25/5,36-37,,,0,1,0
49,49,fab1/25/6,36-37,,,0,1,0
50,50,fab1/25/7,36-37,,,0,1,0
51,51,fab1/25/8,36-37,,,0,1,0
2100,52,fab1/26/1,36-37,,,1,1,0
2101,53,fab1/26/2,36-37,,,1,1,0
2102,54,fab1/26/3,36-37,,,1,1,0
2103,55,fab1/26/4,36-37,,,1,1,0
52,52,fab1/26/5,36-37,,,0,1,0
53,53,fab1/26/6,36-37,,,0,1,0
54,54,fab1/26/7,36-37,,,0,1,0
55,55,fab1/26/8,36-37,,,0,1,0
2108,60,fab1/27/1,36-37,,,1,1,0
2109,61,fab1/27/2,36-37,,,1,1,0
2110,62,fab1/27/3,36-37,,,1,1,0
2111,63,fab1/27/4,36-37,,,1,1,0
60,60,fab1/27/5,36-37,,,0,1,0
61,61,fab1/27/6,36-37,,,0,1,0
62,62,fab1/27/7,36-37,,,0,1,0
63,63,fab1/27/8,36-37,,,0,1,0
2104,56,fab1/28/1,36-37,,,1,1,0
2105,57,fab1/28/2,36-37,,,1,1,0
2106,58,fab1/28/3,36-37,,,1,1,0
2107,59,fab1/28/4,36-37,,,1,1,0
56,56,fab1/28/5,36-37,,,0,1,0
57,57,fab1/28/6,36-37,,,0,1,0
58,58,fab1/28/7,36-37,,,0,1,0
59,59,fab1/28/8,36-37,,,0,1,0
2116,68,fab1/29/1,36-37,,,1,1,0
2117,69,fab1/29/2,36-37,,,1,1,0
2118,70,fab1/29/3,36-37,,,1,1,0
2119,71,fab1/29/4,36-37,,,1,1,0
68,68,fab1/29/5,36-37,,,0,1,0
69,69,fab1/29/6,36-37,,,0,1,0
70,70,fab1/29/7,36-37,,,0,1,0
71,71,fab1/29/8,36-37,,,0,1,0
84,84,fab1/3/1,36-37,,,0,1,0
85,85,fab1/3/2,36-37,,,0,1,0
86,86,fab1/3/3,36-37,,,0,1,0
87,87,fab1/3/4,36-37,,,0,1,0
2132,84,fab1/3/5,36-37,,,1,1,0
2133,85,fab1/3/6,36-37,,,1,1,0
2134,86,fab1/3/7,36-37,,,1,1,0
2135,87,fab1/3/8,36-37,,,1,1,0
2112,64,fab1/30/1,36-37,,,1,1,0
2113,65,fab1/30/2,36-37,,,1,1,0
2114,66,fab1/30/3,36-37,,,1,1,0
2115,67,fab1/30/4,36-37,,,1,1,0
64,64,fab1/30/5,36-37,,,0,1,0
65,65,fab1/30/6,36-37,,,0,1,0
66,66,fab1/30/7,36-37,,,0,1,0
67,67,fab1/30/8,36-37,,,0,1,0
2128,80,fab1/31/1,36-37,,,1,1,0
2129,81,fab1/31/2,36-37,,,1,1,0
2130,82,fab1/31/3,36-37,,,1,1,0
2131,83,fab1/31/4,36-37,,,1,1,0
80,80,fab1/31/5,36-37,,,0,1,0
81,81,fab1/31/6,36-37,,,0,1,0
82,82,fab1/31/7,36-37,,,0,1,0
83,83,fab1/31/8,36-37,,,0,1,0
2136,88,fab1/32/1,36-37,,,1,1,0
2137,89,fab1/32/2,36-37,,,1,1,0
2138,90,fab1/32/3,36-37,,,1,1,0
2139,91,fab1/32/4,36-37,,,1,1,0
88,88,fab1/32/5,36-37,,,0,1,0
89,89,fab1/32/6,36-37,,,0,1,0
90,90,fab1/32/7,36-37,,,0,1,0
91,91,fab1/32/8,36-37,,,0,1,0
2140,92,fab1/33/1,36-37,,,1,1,0
2141,93,fab1/33/2,36-37,,,1,1,0
2142,94,fab1/33/3,36-37,,,1,1,0
2143,95,fab1/33/4,36-37,,,1,1,0
92,92,fab1/33/5,36-37,,,0,1,0
