SLOT_ID,CHIP_ID,CHIP_TYPE,CORE_ID,CORE_TYPE,CORE_LANE,LANE_SPEED(mbps),MEDIA_TYPE,TCVR_VENDOR,NIC_VENDOR,CABLE_LENGTH(m),TX_PRE3,TX_PRE2,TX_PRE1,TX_MAIN,TX_POST1,TX_POST2,TX_POST3,TX_DRIVE_CURRENT,RX_CTLE_CODE,RX_DSP_MODE,RX_AFE_TRIM
1,1,NPU,0,CHENAB_NIF,0,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,1,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,2,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,3,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,4,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,5,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,6,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,7,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,8,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,9,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,10,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,11,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,12,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,13,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,14,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,15,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,16,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,17,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,18,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,19,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,20,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,21,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,22,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,23,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,24,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,25,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,26,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,27,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,28,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,29,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,30,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,31,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,32,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,33,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,34,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,35,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,36,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,37,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,38,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,39,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,40,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,41,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,42,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
1,1,NPU,0,CHENAB_NIF,43,100000,BACKPLANE,,,,0,1,-11,51,0,,,55,,,
