Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope,Parent_Port
32977,32977,fab1/29/1,42,,,0,1,0
32976,32976,fab1/29/2,42,,,0,1,0
32972,32972,fab1/29/3,42,,,0,1,0
32979,32979,fab1/29/4,42,,,0,1,0
32975,32975,fab1/29/5,42,,,0,1,0
32978,32978,fab1/29/6,42,,,0,1,0
32974,32974,fab1/29/7,42,,,0,1,0
32973,32973,fab1/29/8,42,,,0,1,0
32970,32970,fab1/30/1,42,,,0,1,0
32971,32971,fab1/30/2,42,,,0,1,0
32969,32969,fab1/30/3,42,,,0,1,0
32965,32965,fab1/30/4,42,,,0,1,0
32968,32968,fab1/30/5,42,,,0,1,0
32966,32966,fab1/30/6,42,,,0,1,0
32964,32964,fab1/30/7,42,,,0,1,0
32967,32967,fab1/30/8,42,,,0,1,0
32998,32998,fab1/31/1,42,,,0,1,0
32999,32999,fab1/31/2,42,,,0,1,0
33001,33001,fab1/31/3,42,,,0,1,0
33003,33003,fab1/31/4,42,,,0,1,0
33000,33000,fab1/31/5,42,,,0,1,0
32996,32996,fab1/31/6,42,,,0,1,0
33002,33002,fab1/31/7,42,,,0,1,0
32997,32997,fab1/31/8,42,,,0,1,0
32980,32980,fab1/32/1,42,,,0,1,0
32983,32983,fab1/32/2,42,,,0,1,0
32985,32985,fab1/32/3,42,,,0,1,0
32981,32981,fab1/32/4,42,,,0,1,0
32984,32984,fab1/32/5,42,,,0,1,0
32982,32982,fab1/32/6,42,,,0,1,0
32986,32986,fab1/32/7,42,,,0,1,0
32987,32987,fab1/32/8,42,,,0,1,0
32993,32993,fab1/33/1,42,,,0,1,0
32992,32992,fab1/33/2,42,,,0,1,0
32994,32994,fab1/33/3,42,,,0,1,0
32995,32995,fab1/33/4,42,,,0,1,0
32991,32991,fab1/33/5,42,,,0,1,0
32988,32988,fab1/33/6,42,,,0,1,0
32990,32990,fab1/33/7,42,,,0,1,0
32989,32989,fab1/33/8,42,,,0,1,0
33009,33009,fab1/34/1,42,,,0,1,0
33010,33010,fab1/34/2,42,,,0,1,0
33004,33004,fab1/34/3,42,,,0,1,0
33011,33011,fab1/34/4,42,,,0,1,0
33006,33006,fab1/34/5,42,,,0,1,0
33008,33008,fab1/34/6,42,,,0,1,0
33007,33007,fab1/34/7,42,,,0,1,0
33005,33005,fab1/34/8,42,,,0,1,0
33028,33028,fab1/35/1,42,,,0,1,0
33031,33031,fab1/35/2,42,,,0,1,0
33033,33033,fab1/35/3,42,,,0,1,0
33029,33029,fab1/35/4,42,,,0,1,0
33032,33032,fab1/35/5,42,,,0,1,0
33030,33030,fab1/35/6,42,,,0,1,0
33034,33034,fab1/35/7,42,,,0,1,0
33035,33035,fab1/35/8,42,,,0,1,0
33036,33036,fab1/36/1,42,,,0,1,0
