A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYEP,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,13,TH6_NIF,4,6,1,N,N,1,30,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,13,TH6_NIF,5,5,0,N,N,1,30,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,13,TH6_NIF,6,7,3,Y,Y,1,30,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,13,TH6_NIF,7,4,2,Y,Y,1,30,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,12,TH6_NIF,0,2,5,N,Y,1,32,TRANSCEIVER,0,OSFP,0,0,0,N,N
1,1,NPU,12,TH6_NIF,1,3,6,Y,N,1,32,TRANSCEIVER,0,OSFP,1,1,1,N,N
1,1,NPU,12,TH6_NIF,2,0,7,N,N,1,32,TRANSCEIVER,0,OSFP,2,2,2,N,N
1,1,NPU,12,TH6_NIF,3,1,4,Y,N,1,32,TRANSCEIVER,0,OSFP,3,3,3,N,N
1,1,NPU,12,TH6_NIF,4,5,1,N,N,1,32,TRANSCEIVER,0,OSFP,4,4,4,N,N
1,1,NPU,12,TH6_NIF,5,6,0,N,N,1,32,TRANSCEIVER,0,OSFP,5,5,5,N,N
1,1,NPU,12,TH6_NIF,6,4,3,Y,Y,1,32,TRANSCEIVER,0,OSFP,6,6,6,N,N
1,1,NPU,12,TH6_NIF,7,7,2,Y,Y,1,32,TRANSCEIVER,0,OSFP,7,7,7,N,N
1,1,NPU,16,TH6_NIF,0,3,3,N,Y,1,34,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,16,TH6_NIF,1,0,2,Y,N,1,34,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,16,TH6_NIF,2,5,4,N,Y,1,34,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,16,TH6_NIF,3,4,7,Y,Y,1,34,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,16,TH6_NIF,4,2,1,Y,Y,1,34,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,16,TH6_NIF,5,1,0,N,N,1,34,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,16,TH6_NIF,6,6,6,N,Y,1,34,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,16,TH6_NIF,7,7,5,Y,N,1,34,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,17,TH6_NIF,0,3,3,N,Y,1,35,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,17,TH6_NIF,1,1,2,N,N,1,35,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,17,TH6_NIF,2,6,4,N,Y,1,35,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,17,TH6_NIF,3,7,5,Y,N,1,35,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,17,TH6_NIF,4,2,1,Y,Y,1,35,BACKPLANE,0,EXAMAX,4,4,4,N,N
